User,Time,Model,Input tokens,Output tokens,Cost,Balance
open-ui,6/3/2025, 2:10:40 PM,qwen2.5-coder-extra-ctx:7b,548,98,0.0372,90685.0693
open-ui,6/3/2025, 12:47:45 PM,qwen2.5-coder-extra-ctx:7b,433,47,0.0264,90685.1065
open-ui,6/3/2025, 12:45:35 PM,mistral-small-3.1:custom,403,79,0.0640,90685.1329
open-ui,6/3/2025, 12:05:46 PM,mistral-small-3.1:custom,437,59,0.0614,90685.1969
open-ui,6/3/2025, 12:03:16 PM,qwen2.5-coder-extra-ctx:7b,465,65,0.0298,90685.2583
open-ui,6/3/2025, 11:54:56 AM,qwen2.5-coder-extra-ctx:7b,527,73,0.0337,90685.2881
open-ui,6/3/2025, 11:53:55 AM,qwen2.5-coder-extra-ctx:7b,515,67,0.0325,90685.3218
open-ui,6/3/2025, 11:52:13 AM,qwen2.5-coder-extra-ctx:7b,439,73,0.0293,90685.3543
open-ui,6/3/2025, 11:50:39 AM,qwen2.5-coder-extra-ctx:7b,464,71,0.0303,90685.3836
open-ui,6/3/2025, 11:49:21 AM,qwen2.5-coder-extra-ctx:7b,441,84,0.0304,90685.4139
open-ui,6/3/2025, 11:47:21 AM,qwen2.5-coder-extra-ctx:7b,438,47,0.0266,90685.4443
open-ui,6/3/2025, 8:00:56 AM,mistral-small-3.1:custom,6539,111,0.6872,90685.4709
open-ui,6/3/2025, 8:00:51 AM,mistral-small-3.1:custom,34,558,0.1708,90686.1581
open-ui,6/3/2025, 7:57:55 AM,mistral-small-3.1:custom,14,0,0.0000,90686.3289
open-ui,6/2/2025, 8:55:25 AM,mistral-small-3.1:custom,403,80,0.0643,90686.3289
open-ui,6/2/2025, 8:40:27 AM,mistral-small-3.1:custom,9,385,0.1164,90686.3932
open-ui,5/30/2025, 9:57:22 AM,qwen2.5-coder-extra-ctx:7b,18434,320,0.9537,90686.5096
open-ui,5/30/2025, 9:56:31 AM,qwen2.5-coder-extra-ctx:7b,36,117,0.0135,90687.4633
open-ui,5/30/2025, 9:56:15 AM,qwen2.5-coder-extra-ctx:7b,43,318,0.0339,90687.4768
open-ui,5/30/2025, 9:54:52 AM,qwen2.5-coder-extra-ctx:7b,43,253,0.0275,90687.5107
Vishnu,5/30/2025, 7:06:06 AM,qwen2.5-coder-extra-ctx:7b,349,27,0.0202,29.2770
Vishnu,5/30/2025, 7:05:46 AM,qwen2.5-coder-extra-ctx:7b,351,34,0.0210,29.2972
Vishnu,5/30/2025, 7:05:24 AM,qwen2.5-coder-extra-ctx:7b,348,19,0.0193,29.3182
Vishnu,5/30/2025, 7:04:36 AM,qwen2.5-coder-extra-ctx:7b,345,15,0.0188,29.3375
Vishnu,5/30/2025, 7:01:30 AM,qwen2.5-coder-extra-ctx:7b,324,98,0.0260,29.3563
Vishnu,5/30/2025, 6:49:51 AM,qwen2.5-coder-extra-ctx:7b,334,79,0.0246,29.3823
Vishnu,5/30/2025, 6:46:52 AM,qwen2.5-coder-extra-ctx:7b,330,107,0.0272,29.4069
Vishnu,5/30/2025, 6:28:36 AM,qwen2.5-coder-extra-ctx:7b,330,109,0.0439,29.4341
Vishnu,5/30/2025, 6:27:47 AM,qwen2.5-coder-extra-ctx:7b,346,274,0.0620,29.4780
Vishnu,5/30/2025, 6:26:35 AM,qwen2.5-coder-extra-ctx:7b,339,77,0.0416,29.5400
Vishnu,5/30/2025, 6:26:04 AM,qwen2.5-coder-extra-ctx:7b,322,72,0.0394,29.5816
Vishnu,5/30/2025, 6:23:03 AM,qwen2.5-coder-extra-ctx:7b,54,253,0.0307,29.6210
open-ui,5/30/2025, 6:20:56 AM,qwen2.5-coder-extra-ctx:7b,561,42,0.0603,90687.5382
open-ui,5/30/2025, 6:20:09 AM,qwen2.5-coder-extra-ctx:7b,1240,64,0.1304,90687.5985
open-ui,5/28/2025, 2:52:21 PM,qwen2.5-coder-extra-ctx:7b,419,243,0.0662,90687.7289
open-ui,5/28/2025, 2:39:37 PM,qwen2.5-coder-extra-ctx:7b,423,101,0.0524,90687.7951
open-ui,5/28/2025, 2:36:13 PM,qwen2.5-coder-extra-ctx:7b,454,68,0.0522,90687.8475
open-ui,5/28/2025, 1:58:19 PM,qwen2.5-coder-extra-ctx:7b,44,175,0.0219,90687.8997
open-ui,5/28/2025, 1:58:00 PM,qwen2.5-coder-extra-ctx:7b,440,48,0.0488,90687.9216
open-ui,5/28/2025, 1:55:36 PM,Qwen3-8b:latest,19,707,0.0726,90687.9704
open-ui,5/28/2025, 1:53:23 PM,qwen2.5-coder-extra-ctx:7b,36,152,0.0188,90688.0430
open-ui,5/28/2025, 1:44:49 PM,qwen2.5-coder-extra-ctx:7b,43,246,0.0289,90688.0618
open-ui,5/28/2025, 1:27:49 PM,qwen2.5-coder-extra-ctx:7b,461,87,0.0548,90688.0907
open-ui,5/28/2025, 1:27:11 PM,qwen2.5-coder-extra-ctx:7b,446,41,0.0487,90688.1455
open-ui,5/28/2025, 1:24:21 PM,qwen2.5-coder-extra-ctx:7b,511,56,0.0567,90688.1942
open-ui,5/28/2025, 1:21:09 PM,qwen2.5-coder-extra-ctx:7b,381,73,0.0454,90688.2509
open-ui,5/28/2025, 1:19:57 PM,qwen2.5-coder-extra-ctx:7b,402,63,0.0465,90688.2963
open-ui,5/28/2025, 7:25:43 AM,qwen2.5-coder-extra-ctx:7b,613,55,0.0668,90688.3428
open-ui,5/27/2025, 2:05:28 PM,qwen2.5-coder-extra-ctx:7b,361,57,0.0418,90688.4096
Ashok Sankaranarayanan,5/27/2025, 1:39:51 PM,qwen2.5-coder-extra-ctx:7b,6134,40,0.6174,99391.0706
Ashok Sankaranarayanan,5/27/2025, 1:39:03 PM,qwen2.5-coder-extra-ctx:7b,38,82,0.0120,99391.6880
Ashok Sankaranarayanan,5/27/2025, 1:38:04 PM,tool-validation,6036,47,608.3000,99391.7000
Ashok Sankaranarayanan,5/27/2025, 1:18:06 PM,tool-validation,4096,134,423.0000,-385.5074
Ashok Sankaranarayanan,5/27/2025, 1:17:05 PM,tool-validation,71,48,11.9000,37.4926
Ashok Sankaranarayanan,5/27/2025, 1:16:09 PM,qwen2.5-coder-extra-ctx:7b,6028,46,0.6074,49.3926
open-ui,5/27/2025, 11:27:19 AM,viewpoint-jira,6751,527,727.8000,90688.4514
open-ui,5/27/2025, 11:26:28 AM,viewpoint-jira,81,66,14.7000,91416.2514
Philipp A. Baer,5/27/2025, 11:20:23 AM,qwen2.5-coder-extra-ctx:7b,393,81,0.0474,49.9045
Philipp A. Baer,5/27/2025, 11:19:11 AM,qwen2.5-coder-extra-ctx:7b,297,78,0.0375,49.9519
Philipp A. Baer,5/27/2025, 11:18:48 AM,qwen2.5-coder-extra-ctx:7b,38,68,0.0106,49.9894
open-ui,5/27/2025, 11:05:06 AM,qwen2.5-coder-extra-ctx:7b,416,55,0.0471,91430.9514
open-ui,5/27/2025, 11:04:13 AM,qwen2.5-coder-extra-ctx:7b,420,59,0.0479,91430.9985
open-ui,5/27/2025, 11:03:28 AM,qwen2.5-coder-extra-ctx:7b,221,54,0.0275,91431.0464
open-ui,5/27/2025, 11:03:28 AM,qwen2.5-coder-extra-ctx:7b,221,41,0.0262,91431.0739
open-ui,5/27/2025, 11:01:07 AM,qwen2.5-coder-extra-ctx:7b,221,460,0.0681,91431.1001
Vishnu,5/27/2025, 9:16:09 AM,qwen2.5-coder-extra-ctx:7b,405,149,0.0554,29.6517
Vishnu,5/27/2025, 9:09:30 AM,viewpoint-jira,88,54,14.2000,29.7071
Vishnu,5/27/2025, 9:09:16 AM,qwen2.5-coder-extra-ctx:7b,30,43,0.0073,43.9071
open-ui,5/22/2025, 1:54:06 PM,viewpoint-jira,967,242,120.9000,91431.1682
open-ui,5/22/2025, 1:53:43 PM,viewpoint-jira,749,176,92.5000,91552.0682
open-ui,5/22/2025, 1:53:17 PM,viewpoint-jira,1759,111,187.0000,91644.5682
open-ui,5/22/2025, 1:52:54 PM,viewpoint-jira,7955,147,810.2000,91831.5682
open-ui,5/22/2025, 1:50:59 PM,viewpoint-jira,733,93,82.6000,92641.7682
open-ui,5/22/2025, 1:45:04 PM,viewpoint-jira,1047,95,114.2000,92724.3682
open-ui,5/22/2025, 1:42:09 PM,viewpoint-jira,1047,96,114.3000,92838.5682
open-ui,5/22/2025, 1:38:04 PM,viewpoint-jira,1036,85,112.1000,92952.8682
open-ui,5/22/2025, 1:35:44 PM,viewpoint-jira,10667,144,1081.1000,93064.9682
open-ui,5/22/2025, 1:35:02 PM,viewpoint-jira,10551,122,1067.3000,94146.0682
open-ui,5/22/2025, 11:47:23 AM,viewpoint-jira,908,81,98.9000,95213.3682
open-ui,5/22/2025, 11:46:54 AM,viewpoint-jira,10572,126,1069.8000,95312.2682
open-ui,5/22/2025, 11:45:47 AM,viewpoint-jira,10693,105,1079.8000,96382.0682
open-ui,5/22/2025, 11:44:12 AM,viewpoint-jira,10676,87,1076.3000,97461.8682
open-ui,5/22/2025, 11:43:39 AM,viewpoint-jira,725,102,82.7000,98538.1682
open-ui,5/22/2025, 11:43:05 AM,viewpoint-jira,735,131,86.6000,98620.8682
open-ui,5/22/2025, 11:42:31 AM,viewpoint-jira,10539,123,1066.2000,98707.4682
open-ui,5/22/2025, 11:41:58 AM,viewpoint-jira,721,125,84.6000,99773.6682
open-ui,5/22/2025, 11:39:18 AM,viewpoint-jira,572,76,64.8000,99858.2682
open-ui,5/22/2025, 11:38:39 AM,viewpoint-jira,451,109,56.0000,99923.0682
open-ui,5/22/2025, 11:35:36 AM,qwen2.5-coder-extra-ctx:7b,1587,222,0.1809,99979.0682
open-ui,5/21/2025, 3:18:54 PM,qwen2.5-coder-extra-ctx:7b,1567,240,0.1807,99979.2491
open-ui,5/21/2025, 3:17:09 PM,qwen2.5-coder-extra-ctx:7b,1562,120,0.1682,99979.4298
open-ui,5/21/2025, 3:15:40 PM,qwen2.5-coder-extra-ctx:7b,1569,120,0.1689,99979.5980
open-ui,5/21/2025, 3:13:09 PM,qwen2.5-coder-extra-ctx:7b,1562,81,0.1643,99979.7669
open-ui,5/21/2025, 3:12:12 PM,qwen2.5-coder-extra-ctx:7b,1242,222,0.1464,99979.9312
open-ui,5/21/2025, 3:10:15 PM,qwen2.5-coder-extra-ctx:7b,1694,57,0.1751,99980.0776
open-ui,5/21/2025, 8:02:11 AM,qwen2.5-coder-extra-ctx:7b,1328,71,0.1399,99980.2527
open-ui,5/21/2025, 7:51:53 AM,qwen2.5-coder-extra-ctx:7b,1314,52,0.1366,99980.3926
open-ui,5/21/2025, 7:45:27 AM,qwen2.5-coder-extra-ctx:7b,1678,56,0.1734,99980.5292
open-ui,5/21/2025, 7:44:21 AM,qwen2.5-coder-extra-ctx:7b,1677,225,0.1902,99980.7026
Vishnu,5/21/2025, 7:39:49 AM,qwen2.5-coder-extra-ctx:7b,36,76,0.0112,43.9144
Vishnu,5/20/2025, 11:31:42 AM,viewpoint-jira,30,30,6.0000,43.9256
open-ui,5/13/2025, 1:31:36 PM,qwen2.5-coder-extra-ctx:7b,789,201,0.0990,99980.8928
open-ui,5/12/2025, 2:18:19 PM,qwen2.5-coder-extra-ctx:7b,1391,84,0.1475,99980.9918
open-ui,5/12/2025, 2:16:03 PM,qwen2.5-coder-extra-ctx:7b,1150,86,0.1236,99981.1393
open-ui,5/12/2025, 1:56:07 PM,qwen2.5-coder-extra-ctx:7b,1150,86,0.1236,99981.2629
open-ui,5/12/2025, 1:46:35 PM,qwen2.5-coder-extra-ctx:7b,1150,86,0.1236,99981.3865
open-ui,5/12/2025, 1:44:35 PM,qwen2.5-coder-extra-ctx:7b,908,86,0.0994,99981.5101
open-ui,5/12/2025, 1:24:18 PM,qwen2.5-coder-extra-ctx:7b,908,86,0.0994,99981.6095
open-ui,5/12/2025, 9:52:34 AM,qwen2.5-coder-extra-ctx:7b,666,86,0.0752,99981.7089
open-ui,5/2/2025, 9:41:06 AM,qwen2.5-coder-extra-ctx:7b,695,54,0.0749,99981.7841
open-ui,5/2/2025, 9:39:51 AM,qwen2.5-coder-extra-ctx:7b,874,32,0.0906,99981.8590
open-ui,5/2/2025, 9:36:01 AM,qwen2.5-coder-extra-ctx:7b,681,271,0.0952,99981.9496
open-ui,4/23/2025, 3:11:23 PM,qwen2.5-coder-extra-ctx:7b,681,185,0.0866,99982.0448
open-ui,4/23/2025, 3:08:59 PM,qwen2.5-coder-extra-ctx:7b,707,104,0.0811,99982.1314
open-ui,4/23/2025, 2:58:13 PM,qwen2.5-coder-extra-ctx:7b,728,60,0.0788,99982.2125
open-ui,4/23/2025, 2:55:48 PM,qwen2.5-coder-extra-ctx:7b,388,40,0.0428,99982.2913
open-ui,4/16/2025, 3:31:42 PM,qwen2.5-coder-extra-ctx:7b,952,86,0.1038,99982.3341
open-ui,4/16/2025, 3:18:48 PM,qwen2.5-coder-extra-ctx:7b,181,402,0.0583,99982.4379
open-ui,4/16/2025, 1:38:17 PM,llama3.2:latest,179,573,0.0226,99982.4962
open-ui,4/16/2025, 1:24:21 PM,qwen2.5-coder-extra-ctx:7b,451,95,0.0546,99982.5188
open-ui,4/16/2025, 1:14:57 PM,qwen2.5-coder-extra-ctx:7b,718,84,0.0802,99982.5734
open-ui,4/15/2025, 12:40:08 PM,qwen2.5-coder-extra-ctx:7b,425,48,0.0473,99982.6536
open-ui,4/15/2025, 9:50:22 AM,qwen2.5-coder-extra-ctx:7b,449,60,0.0509,99982.7009
open-ui,4/15/2025, 9:48:47 AM,qwen2.5-coder-extra-ctx:7b,436,57,0.0493,99982.7518
open-ui,4/15/2025, 9:08:16 AM,qwen2.5-coder-extra-ctx:7b,1323,51,0.1374,99982.8011
open-ui,4/15/2025, 9:06:59 AM,qwen2.5-coder-extra-ctx:7b,1345,222,0.1567,99982.9385
open-ui,4/15/2025, 9:05:11 AM,qwen2.5-coder-extra-ctx:7b,45,486,0.0531,99983.0952
open-ui,4/15/2025, 9:03:20 AM,qwen2.5-coder-extra-ctx:7b,48,64,0.0112,99983.1483
open-ui,4/15/2025, 8:59:25 AM,qwen2.5-coder-extra-ctx:7b,1110,248,0.1358,99983.1595
open-ui,4/15/2025, 8:58:57 AM,qwen2.5-coder-extra-ctx:7b,1096,152,0.1248,99983.2953
open-ui,4/15/2025, 8:58:06 AM,qwen2.5-coder-extra-ctx:7b,1030,208,0.1238,99983.4201
open-ui,4/15/2025, 8:57:36 AM,qwen2.5-coder-extra-ctx:7b,1038,154,0.1192,99983.5439
open-ui,4/15/2025, 8:56:15 AM,qwen2.5-coder-extra-ctx:7b,520,214,0.0734,99983.6631
open-ui,4/8/2025, 12:09:05 PM,qwen2.5-coder-extra-ctx:7b,8183,420,0.8603,99983.7365
open-ui,4/8/2025, 12:08:15 PM,qwen2.5-coder-extra-ctx:7b,8800,96,0.8896,99984.5968
open-ui,4/8/2025, 12:07:31 PM,qwen2.5-coder-extra-ctx:7b,4739,154,0.4893,99985.4864
open-ui,4/8/2025, 12:06:15 PM,qwen2.5-coder-extra-ctx:7b,8696,510,0.9206,99985.9757
open-ui,4/8/2025, 12:05:10 PM,qwen2.5-coder-extra-ctx:7b,8703,44,0.8747,99986.8963
open-ui,4/8/2025, 9:02:51 AM,qwen2.5-coder-extra-ctx:7b,522,112,0.0634,99987.7710
open-ui,4/8/2025, 9:01:59 AM,qwen2.5-coder-extra-ctx:7b,605,73,0.0678,99987.8344
open-ui,4/8/2025, 9:00:37 AM,qwen2.5-coder-extra-ctx:7b,537,59,0.0596,99987.9022
open-ui,4/8/2025, 9:00:18 AM,qwen2.5-coder-extra-ctx:7b,537,106,0.0643,99987.9618
open-ui,4/8/2025, 8:59:01 AM,qwen2.5-coder-extra-ctx:7b,537,127,0.0664,99988.0261
open-ui,4/8/2025, 8:51:03 AM,qwen2.5-coder-extra-ctx:7b,663,66,0.0729,99988.0925
open-ui,4/4/2025, 8:56:23 AM,qwen2.5-coder-extra-ctx:7b,904,171,0.1075,99988.1654
open-ui,4/4/2025, 8:56:04 AM,llama3.2:latest,380,341,0.0216,99988.2729
open-ui,4/4/2025, 8:55:34 AM,qwen2.5-coder-extra-ctx:7b,779,102,0.0881,99988.2945
open-ui,4/4/2025, 8:52:11 AM,qwen2.5-coder-extra-ctx:7b,548,167,0.0715,99988.3826
open-ui,4/3/2025, 3:03:17 PM,qwen2.5-coder-extra-ctx:7b,673,157,0.0830,99988.4541
open-ui,4/3/2025, 3:02:49 PM,qwen2.5-coder-extra-ctx:7b,449,127,0.0576,99988.5371
open-ui,4/3/2025, 3:02:29 PM,llama3.2:latest,36,316,0.0106,99988.5947
open-ui,4/3/2025, 3:02:03 PM,llama3.2:latest,48,316,0.0109,99988.6053
open-ui,4/3/2025, 3:01:13 PM,llama3.2:latest,35,126,0.0048,99988.6162
open-ui,4/3/2025, 3:00:27 PM,llama3.2:latest,33,112,0.0044,99988.6210
open-ui,4/3/2025, 9:46:24 AM,llama3.2:latest,277,363,0.0192,99988.6254
open-ui,4/3/2025, 9:38:27 AM,llama3.2:latest,654,99,0.0226,99988.6446
open-ui,4/3/2025, 9:35:02 AM,llama3.2:latest,439,100,0.0162,99988.6672
open-ui,4/3/2025, 9:34:41 AM,llama3.2:latest,431,67,0.0149,99988.6834
open-ui,4/3/2025, 9:34:06 AM,qwen2.5-coder-extra-ctx:7b,2621,1,0.2622,99988.6983
open-ui,4/3/2025, 9:32:11 AM,qwen2.5-coder-extra-ctx:7b,2068,1,0.2069,99988.9605
open-ui,4/3/2025, 9:31:19 AM,qwen2.5-coder-extra-ctx:7b,2078,1,0.2079,99989.1674
open-ui,4/3/2025, 9:29:49 AM,qwen2.5-coder-extra-ctx:7b,1370,310,0.1680,99989.3753
open-ui,4/3/2025, 9:29:22 AM,qwen2.5-coder-extra-ctx:7b,484,139,0.0623,99989.5433
open-ui,4/3/2025, 9:26:16 AM,qwen2.5-coder-extra-ctx:7b,421,145,0.0566,99989.6056
open-ui,4/3/2025, 9:23:25 AM,qwen2.5-coder-extra-ctx:7b,468,143,0.0611,99989.6622
open-ui,4/3/2025, 9:22:50 AM,qwen2.5-coder-extra-ctx:7b,458,86,0.0544,99989.7233
open-ui,4/3/2025, 9:22:42 AM,qwen2.5-coder-extra-ctx:7b,458,83,0.0541,99989.7777
open-ui,4/3/2025, 9:21:08 AM,qwen2.5-coder-extra-ctx:7b,434,36,0.0470,99989.8318
open-ui,4/3/2025, 9:17:59 AM,qwen2.5-coder-extra-ctx:7b,538,187,0.0725,99989.8788
open-ui,4/3/2025, 9:16:43 AM,qwen2.5-coder-extra-ctx:7b,427,77,0.0504,99989.9513
open-ui,4/3/2025, 9:14:03 AM,qwen2.5-coder-extra-ctx:7b,36,33,0.0069,99990.0017
open-ui,4/3/2025, 9:03:52 AM,qwen2.5-coder-extra-ctx:7b,36,107,0.0143,99990.0086
open-ui,4/3/2025, 8:27:30 AM,qwen2.5-coder-extra-ctx:7b,38,95,0.0133,99990.0229
open-ui,3/31/2025, 2:11:00 PM,qwen2.5-coder-extra-ctx:7b,40,123,0.0163,99990.0362
open-ui,3/31/2025, 2:07:40 PM,qwen2.5-coder-extra-ctx:7b,402,56,0.0458,99990.0525
open-ui,3/31/2025, 2:06:37 PM,qwen2.5-coder-extra-ctx:7b,43,198,0.0241,99990.0983
open-ui,3/31/2025, 2:06:13 PM,qwen2.5-coder-extra-ctx:7b,37,67,0.0104,99990.1224
open-ui,3/31/2025, 2:02:05 PM,qwen2.5-coder-extra-ctx:7b,396,13,0.0409,99990.1328
open-ui,3/31/2025, 2:01:59 PM,qwen2.5-coder-extra-ctx:7b,37,98,0.0135,99990.1737
open-ui,3/31/2025, 2:00:16 PM,qwen2.5-coder-extra-ctx:7b,396,286,0.0682,99990.1872
open-ui,3/31/2025, 1:59:34 PM,qwen2.5-coder-extra-ctx:7b,401,54,0.0455,99990.2554
open-ui,3/31/2025, 1:57:52 PM,qwen2.5-coder-extra-ctx:7b,494,34,0.0528,99990.3009
open-ui,3/31/2025, 1:55:02 PM,qwen2.5-coder-extra-ctx:7b,1289,248,0.1537,99990.3537
open-ui,3/31/2025, 1:54:40 PM,qwen2.5-coder-extra-ctx:7b,467,70,0.0537,99990.5074
open-ui,3/31/2025, 1:47:21 PM,qwen2.5-coder-extra-ctx:7b,708,388,0.1096,99990.5611
open-ui,3/31/2025, 1:45:20 PM,qwen2.5-coder-extra-ctx:7b,672,48,0.0720,99990.6707
open-ui,3/31/2025, 1:44:38 PM,qwen2.5-coder-extra-ctx:7b,566,103,0.0669,99990.7427
open-ui,3/31/2025, 1:43:45 PM,qwen2.5-coder-extra-ctx:7b,463,61,0.0524,99990.8096
open-ui,3/31/2025, 1:40:40 PM,qwen2.5-coder-extra-ctx:7b,482,77,0.0559,99990.8620
open-ui,3/31/2025, 1:40:17 PM,qwen2.5-coder-extra-ctx:7b,462,61,0.0523,99990.9179
open-ui,3/31/2025, 1:39:56 PM,qwen2.5-coder-extra-ctx:7b,471,63,0.0534,99990.9702
open-ui,3/31/2025, 1:34:03 PM,qwen2.5-coder-extra-ctx:7b,1913,1,0.1914,99991.0236
open-ui,3/31/2025, 1:33:32 PM,qwen2.5-coder-extra-ctx:7b,614,309,0.0923,99991.2150
open-ui,3/31/2025, 1:30:44 PM,qwen2.5-coder-extra-ctx:7b,462,115,0.0577,99991.3073
open-ui,3/31/2025, 10:21:42 AM,qwen2.5-coder-extra-ctx:7b,453,97,0.0550,99991.3650
open-ui,3/31/2025, 10:17:29 AM,qwen2.5-coder-extra-ctx:7b,453,73,0.0526,99991.4200
open-ui,3/31/2025, 10:16:35 AM,qwen2.5-coder-extra-ctx:7b,448,45,0.0493,99991.4726
open-ui,3/31/2025, 10:16:24 AM,qwen2.5-coder-extra-ctx:7b,448,54,0.0502,99991.5219
open-ui,3/31/2025, 10:10:40 AM,qwen2.5-coder-extra-ctx:7b,456,156,0.0612,99991.5721
open-ui,3/31/2025, 10:09:49 AM,qwen2.5-coder-extra-ctx:7b,407,115,0.0522,99991.6333
open-ui,3/31/2025, 10:09:42 AM,qwen2.5-coder-extra-ctx:7b,407,14,0.0421,99991.6855
open-ui,3/31/2025, 9:53:49 AM,qwen2.5-coder-extra-ctx:7b,405,35,0.0440,99991.7276
open-ui,3/31/2025, 9:52:33 AM,qwen2.5-coder-extra-ctx:7b,405,47,0.0452,99991.7716
open-ui,3/31/2025, 9:44:50 AM,qwen2.5-coder-extra-ctx:7b,447,121,0.0568,99991.8168
open-ui,3/31/2025, 9:15:39 AM,qwen2.5-coder-extra-ctx:7b,458,52,0.0510,99991.8736
open-ui,3/31/2025, 9:14:51 AM,qwen2.5-coder-extra-ctx:7b,449,53,0.0502,99991.9246
open-ui,3/31/2025, 9:14:07 AM,qwen2.5-coder-extra-ctx:7b,443,54,0.0497,99991.9748
open-ui,3/31/2025, 9:13:23 AM,qwen2.5-coder-extra-ctx:7b,408,69,0.0477,99992.0245
open-ui,3/31/2025, 9:10:18 AM,qwen2.5-coder-extra-ctx:7b,447,48,0.0495,99992.0722
open-ui,3/31/2025, 9:04:16 AM,qwen2.5-coder-extra-ctx:7b,436,82,0.0518,99992.1217
open-ui,3/31/2025, 9:04:05 AM,qwen2.5-coder-extra-ctx:7b,37,64,0.0101,99992.1735
open-ui,3/31/2025, 8:58:43 AM,qwen2.5-coder-extra-ctx:7b,473,46,0.0519,99992.1836
open-ui,3/28/2025, 10:43:37 AM,viewpoint-local,2048,351,0.0720,99992.2355
open-ui,3/28/2025, 10:43:07 AM,viewpoint-local,31,417,0.0134,99992.3075
open-ui,3/27/2025, 5:30:56 PM,qwen2.5-coder-extra-ctx:7b,40,67,0.0107,99992.3209
open-ui,3/27/2025, 5:24:36 PM,qwen2.5-coder-extra-ctx:7b,76,127,0.0203,99992.3316
open-ui,3/27/2025, 5:19:27 PM,qwen2.5-coder-extra-ctx:7b,76,161,0.0237,99992.3519
open-ui,3/27/2025, 5:17:44 PM,qwen2.5-coder-extra-ctx:7b,76,114,0.0190,99992.3756
open-ui,3/27/2025, 5:17:06 PM,qwen2.5-coder-extra-ctx:7b,34,26,0.0060,99992.3946
open-ui,3/27/2025, 5:16:12 PM,qwen2.5-coder-extra-ctx:7b,274,76,0.0350,99992.4006
open-ui,3/27/2025, 5:10:40 PM,qwen2.5-coder-extra-ctx:7b,237,21,0.0258,99992.4356
open-ui,3/27/2025, 5:09:34 PM,qwen2.5-coder-extra-ctx:7b,35,186,0.0221,99992.4614
open-ui,3/27/2025, 5:09:25 PM,qwen2.5-coder-extra-ctx:7b,35,301,0.0336,99992.4835
open-ui,3/27/2025, 5:09:09 PM,qwen2.5-coder-extra-ctx:7b,35,151,0.0186,99992.5171
open-ui,3/27/2025, 5:06:15 PM,qwen2.5-coder-extra-ctx:7b,35,169,0.0204,99992.5357
open-ui,3/27/2025, 5:04:26 PM,qwen2.5-coder-extra-ctx:7b,505,196,0.0701,99992.5561
open-ui,3/27/2025, 5:04:02 PM,qwen2.5-coder-extra-ctx:7b,473,62,0.0535,99992.6262
open-ui,3/27/2025, 5:03:17 PM,qwen2.5-coder-extra-ctx:7b,476,107,0.0583,99992.6797
open-ui,3/27/2025, 5:03:05 PM,llama3.2:latest,30,546,0.0173,99992.7380
Chiranjib,3/27/2025, 3:13:36 PM,qwen2.5-coder-extra-ctx:7b,1919,644,0.2563,49.3358
Chiranjib,3/27/2025, 2:41:41 PM,qwen2.5-coder-extra-ctx:7b,1683,722,0.2405,49.5921
open-ui,3/27/2025, 2:31:45 PM,qwen2.5-coder-extra-ctx:7b,569,52,0.0621,99992.7553
Chiranjib,3/27/2025, 2:29:17 PM,qwen2.5-coder-extra-ctx:7b,459,659,0.1118,49.8326
Chiranjib,3/27/2025, 2:25:44 PM,qwen2.5-coder-extra-ctx:7b,159,259,0.0418,49.9444
Chiranjib,3/27/2025, 2:24:39 PM,qwen2.5-coder-extra-ctx:7b,77,61,0.0138,49.9862
open-ui,3/27/2025, 11:30:14 AM,qwen2.5-coder-extra-ctx:7b,39,77,0.0116,99992.8174
open-ui,3/25/2025, 3:31:21 PM,qwen2.5-coder-extra-ctx:7b,1265,159,0.1424,99992.8290
open-ui,3/25/2025, 3:30:43 PM,qwen2.5-coder-extra-ctx:7b,1257,34,0.1291,99992.9714
open-ui,3/25/2025, 3:30:16 PM,qwen2.5-coder-extra-ctx:7b,1242,56,0.1298,99993.1005
open-ui,3/25/2025, 3:29:02 PM,qwen2.5-coder-extra-ctx:7b,1537,239,0.1776,99993.2303
open-ui,3/25/2025, 3:28:30 PM,qwen2.5-coder-extra-ctx:7b,1236,283,0.1519,99993.4079
open-ui,3/25/2025, 3:27:32 PM,qwen2.5-coder-extra-ctx:7b,1054,169,0.1223,99993.5598
open-ui,3/25/2025, 3:26:59 PM,qwen2.5-coder-extra-ctx:7b,1058,66,0.1124,99993.6821
open-ui,3/25/2025, 3:25:29 PM,qwen2.5-coder-extra-ctx:7b,1008,39,0.1047,99993.7945
open-ui,3/25/2025, 3:23:32 PM,qwen2.5-coder-extra-ctx:7b,934,299,0.1233,99993.8992
open-ui,3/25/2025, 3:22:05 PM,qwen2.5-coder-extra-ctx:7b,250,675,0.0925,99994.0225
open-ui,3/25/2025, 3:20:39 PM,qwen2.5-coder-extra-ctx:7b,250,11,0.0261,99994.1150
open-ui,3/25/2025, 3:19:37 PM,qwen2.5-coder-extra-ctx:7b,250,0,0.0000,99994.1411
open-ui,3/25/2025, 3:19:12 PM,qwen2.5-coder-extra-ctx:7b,246,24,0.0270,99994.1411
open-ui,3/25/2025, 3:18:22 PM,qwen2.5-coder-extra-ctx:7b,194,32,0.0226,99994.1681
open-ui,3/25/2025, 3:17:25 PM,qwen2.5-coder-extra-ctx:7b,212,77,0.0289,99994.1907
